	feature	importance	normalized_importance	cumulative_importance
61	NM_001756	0.0027175734812410536	0.0027175734812410536	0.3180025971531258
62	U79293	0.0026922287886377585	0.0026922287886377585	0.3206948259417636
63	Contig56434_RC	0.0026688579394265155	0.0026688579394265155	0.3233636838811901
64	Contig57584_RC	0.002661683106742974	0.002661683106742974	0.32602536698793305
65	NM_002051	0.002656553448870732	0.002656553448870732	0.3286819204368038
66	Contig37571_RC	0.0026323636337922856	0.0026323636337922856	0.33131428407059604
67	NM_001109	0.0025048019824872396	0.0025048019824872396	0.3338190860530833
68	AL157505	0.0024660693519941014	0.0024660693519941014	0.3362851554050774
69	NM_000779	0.0024345558877195226	0.0024345558877195226	0.33871971129279693
70	NM_014668	0.002433083157299998	0.002433083157299998	0.34115279445009694
71	diam	0.0024307366897120307	0.0024307366897120307	0.343583531139809
72	AF007153	0.0024300529972408947	0.0024300529972408947	0.3460135841370499
73	NM_000323	0.002402355842179011	0.002402355842179011	0.34841593997922893
74	NM_006461	0.0023826608801176073	0.0023826608801176073	0.35079860085934655
75	Contig9541_RC	0.0022918993289090367	0.0022918993289090367	0.3530905001882556
76	NM_003981	0.002290178168584318	0.002290178168584318	0.35538067835683995
77	Contig1850_RC	0.0022841864541544633	0.0022841864541544633	0.3576648648109944
78	Contig1063_RC	0.0022561138920731546	0.0022561138920731546	0.35992097870306755
79	NM_000662	0.0022102264569770127	0.0022102264569770127	0.36213120516004454
80	NM_014246	0.0021701093780036682	0.0021701093780036682	0.3643013145380482
81	NM_002570	0.002161073893498728	0.002161073893498728	0.36646238843154694
82	AB037836	0.0021556339022520757	0.0021556339022520757	0.36861802233379903
83	NM_005235	0.0021102774169410466	0.0021102774169410466	0.37072829975074006
84	NM_020373	0.002084424322704305	0.002084424322704305	0.37281272407344435
85	AB037821	0.0020716806537338954	0.0020716806537338954	0.37488440472717827
86	NM_000393	0.002068112955091606	0.002068112955091606	0.3769525176822699
